3 #anatomical sites 
3 #samples 
6 #mutation clusters 
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	cluster_index	cluster_label	f_lb	f_ub	
0	D	0	D	0	1	0.8149	0.8219	
0	D	0	D	1	2	0.8149	0.8214	
0	D	0	D	2	3	0.0	0.0273	
0	D	0	D	3	4	0.0	0.05	
0	D	0	D	4	5	0.0026	0.0059	
0	D	0	D	5	6	0.3948	0.4028	
1	C	1	C	0	1	0.7662	0.772	
1	C	1	C	1	2	0.0	0.0006	
1	C	1	C	2	3	0.3385	0.5535	
1	C	1	C	3	4	0.0	0.1255	
1	C	1	C	4	5	0.4914	0.5057	
1	C	1	C	5	6	0.2681	0.3069	
2	A	2	A	0	1	0.7715	0.7819	
2	A	2	A	1	2	0.0001	0.0011	
2	A	2	A	2	3	0.0	0.0292	
2	A	2	A	3	4	0.446	0.821	
2	A	2	A	4	5	0.7718	0.8029	
2	A	2	A	5	6	0.2104	0.2606	
